ID,Translation
177039,বর্তমান ঘটনা         আছে         থেকে পরি
177040,দেবতা তাঁর প্রস্তাব অস্ত্র সত্যি অস্ত্র ছিলেন কিন্তু তিনি তাঁর দিত্য দিত্য বিয়ে বিয়ে করেন যে তিনি তাঁর সঙ্গে
177041,ছাতি করার পর ছাতি অনুভব করার সময় শ্বাস নেওয়ার সময় আদা আদা দিয়ে আদা আদা দিয়ে আদা দিয়ে আদা খেলে আদা সেরে যায় ৷  ব্য
177042,"এটা ছিল,যে শিশু কুঁড়ো কাটানোর পর শিশু কাটানোর জন্য এবং শ্বাস কাটানোর পরে যখন সে পরিবর্তে আ"
177043,লেনদেরিয়ারিয়া বিদ্যুৎ উৎপাদন বৃদ্ধি পায়।   scarasarasarasara
177044,আমার রাতের খাবার সহ কি আছে
177045,"নিউ ইয়র্ক টাইমসের সাথে দেখা যায়, তিনি ভারতীয় জনগণনরা ভারতীয় জনগণের মধ্যে মানুষকে মধ্যে অন্যতম ছিলেন।  দিয়ে"
177046,মাদ্রাজ হাইকোর্ট হাইকোর্ট হল জুড়ীর মাথার মাথা ৷  এবং প
177047,এই ব্যাপারে যে দেশের অনেক শহরের আশেপাশে কোথাও কোথাও কোথাও কোথাও কোথাও কোথাও কোথাও কোথাও কোথাও নেই বা তার জন্য বিকেলের জন্য থাকে ৷  আছে
177048,এটি তাদের ভারতীয় পরিচয় তৈরি করে ৷
177049,মৃত্যুদণ্ড আজ শহরটি আজ সময়কালের সময়ে হারায়।           s
177050,আপনি কি খরচের ব্যবহার করতে পারেন বা খরচের খরচের খরচের খরচের খরচের খরচের ব্যবহার অনুসারে বেছে নিতে পারেন বা খাবারগুলি ব
177051,"আকাশ দেশের বাকি অংশের সাথে রঙিন ঘুর্ট, এবং বাচ্চাদের সাথে সাথে সাথে তার বিশ্রাম প্রতিযোগীতা প্রতি"
177052,পাণ্ডবদের মন্দিরের নির্মাণ করিয়েছিলেন বা বাবাঈ ভরবনাথ ঠান্ডা ওনার দ্বারা ওনার নির্মাণ করা হয় ৷
177053,ষষ্ঠ শতাব্দীতে এই স্থান হল নিজের বিখ্যাত নেতা  আবাসিক নেতা  ইউরোপীয় নেতা  ইউরোপীয় নেতা  ইউর
177054,দ্রুত দ্রুত            থেকে শুরু করুন       থেকে প্র
177055,এটা চারা পশুখাদ্য হিসেবে ব্যবহার করা হয় ৷  ব্যবহার করা হয় ৷  ব্
177056,২০০৭ সালে কিনাবরোফরোরোসবরোস্বোরোসবোরোফসফরাস ও নিউ ইয়র্ক ডেডওয়ে স্পোর
177057,গড়মুক্তেশ্বরের মন্দিরের মধ্যে একটি পাথরের পাথরের মন্দির আছে যা ভগবান বিষ্ণুর আকৃতি দেখে ভগবান বিষ্ণু মন্দিরের আকার নির্মাণ করা
177058,লাভের প্রফলন এবং সরবরাহ বিভিন্ন মূল্যের মধ্যে নির্ভর করবে ।
177059,কংগ্রেস পার্টি ক্ষমতা ক্ষমতা ও পরিকল্পনা করা হয়েছে।  থেকে প
177060,আপনি কি অনুগ্রহ করে আমাকে ডেলিভারোসিয়ামের থেকে কিছু সন্দেহহীন করতে সাহায্য করতে পারেন  থেকে মুক্তি পেতে সাহায্য করতে সাহায্য করতে
177061,বয়সে ত্বকের ওপর আর্দ্রতা থেকে শুরু করে ৷       coscoscom
177062,আন্তর্জাতিক মহিলাদের দিবস অন্তররাষ্ট্রীয় খবর  আর সর্বোত্তম তথ্য প্রদান করে
177063,"ডেঙ্গু জীবাণু ভাইরাস প্রণালী, কিন্তু যদি একটি মাধ্যমিক ব্যাকটেরিয়া সংক্রামক"
177064,উন্নয়নশীল উন্নয়নের এই সফলতার সাথে সাথে সুতির বিকৃত সুতির বিদ্যুতের প্রয়োজনীয়তা প্রদান করা হয়েছে ৷
177065,আজকাল শিবরাত্রি প্রাচীনকালে ১২ই জয়লমের মধ্যে একটি হিসেবে পালিত হয়। সিলামের একটি স্থান হিসাবে পালিত হয়
177066,দারচিনি কমিটির সাথে দারচিনি মিশনার জন্য দারচিনি কমিটির সাথে মিশে প্রতিষ্ঠিত হয় ৷
177067,যার সাথে রাজ্যগুলির সাথে সুট্রাকহ্যান্ড অর্ডার করে  করে    থেকে
177068,কেন্দ্রীয় সরকার  সরকার মন্ত্রালয় মন্ত্রালয় মন্ত্রালয় মন্ত্রালয় মন্ত্রালয় মন্ত্রালয় পরিবর্তন করা হয়েছে যে ২টি শহরে আধুনিক শহরগুলির নাম দ্বারা নি
177069,প্রাচীন ধ্বংসাবশেষ পৌরাণিক কমিশনেটিভ ভলিউম সম্পর্কে অস্ত্রোপচারের জন্য অনাক্রমণও দেওয়া হয়।
177070,এমনকি বাগানের বিস্তারিত বিস্তারিত বিবরণ দেওয়া যে বাগানগুলি তার বিস্তারিত বিবরণ দেওয়া হয়
177071,এই ডীমগুলি ৮১০ দিন ধরে খেয়েছে।  হয়।  থেকে ১০০০ দিন
177072,এখন এটি এখন কি
177073,অশ্বাস নামে প্রতিরোধিতার বাড়িতে একটি ইচ্ছা প্রকাশ করার ইচ্ছা প্রতিষ্ঠা করে।
177074,"আরেকটি বিকল্পটি হল কাজ কর্মরত করেছে,অন্যদিকে কাজ করার সময় একসাথে কাজ করার অন্যদিকে, তাই সেখানে সর্বদাই সবসময় থাকে।"
177075,শিশু যত্ন সম্পর্কে একটি ট্যাক্সারি অনুষ্ঠান চালান  বাজান
177076,অ্যানিমিয়া  অত্যাধিক রক্তের কারণে অ্যানিমিয়া  celare   celcom
177077,কাঠগড়ের   কাঠগড়ের       থেকে  কানপুর থেকে মুস্তি পাওয়ার পরে তিনি ব্যব
177078,ধৌলি উপত্যকা তুলনামূলকভাবে তুলনামূলকভাবে ফ্যাট হয়ে ওঠে ৷  দিয়ে পরিবেশ প
177079,তাই হোলের থেকে ৪ ইঞ্চি কমিয়ে আপনি ৪ ৫ ইঞ্চি কমিয়ে দিতে পারেন।  দিয়ে প
177080,এই জন্য ওনার সঙ্গীত আর সঙ্গীত ও ব্রেস্টুরেন্সদের জন্য বড় অবদান রয়েছে ।
177081,ইমিমা হিসাবে বিমা শুধুমাত্র এনএইচআইভি বিশ্ব বিশ্ব গ্লোবাল ইন্ডিয়ান বিশ্ব জন্য একমাত্র ডাক্তার্স।
177082,এই ব্যক্তিরা শরীরের জীবন দেহের জীবনযাপন করেছে
177083,সংকর মন্দিরের বেশিরভাগ মঠ মন্দির সংরক্ষণ এবং ভৌগলিক স্থিতির ফলে সংরক্ষিত এবং সুরক্ষিত ভৌগোলিক স্থিতির জন্য স
177084,আঙুর মদ তৈরি করার প্রধান কেন্দ্র হল আঙুর ৷
177085,অলি আমার তালিকায় আগামী কি আছে
177086,পোলিও পোলিও পোলিও পোলিও প্রায় কয়েক দিনের জন্য পোলিও পোলিও পোলিও পোলিও পোলিও পোলিও পোলিও পোলিও পোলিও প্রা
177087,তোমার ঐতিহাসিক মনুমেন্ট ভাজাল দর্শন করার সময় তুমি দেখতে পাবে ভাজাহাজ ভাল্লুক ভাজাল ভাজাহেব যেটা দর্শন করতে প
177088,দাঁতের জন্ডিসে দাঁতের সাথে মজবুত মনে করা হয় ৷
177089,অনুগ্রহ করে আমাকে একটি হাতি বর্ণনা করুন বর্ণনা করুন  করুন
177090,১৯২৪ সালে ভারতের গেটওয়ে সংস্থা ও মুইরি মেরি মেরি মেরি মেরি সংস্থা দর্শন করা হয়।
177091,১৯২২ সালে সার্নিকেতন এখানে নির্মিত এক শ্রীনিকেতন এখানে স্থাপত্য কলার কেন্দ্র আছে ৷
177092,"যদি আপনি কল্লেজের অন্য দ্বীপ থেকে আলাদা দ্বীপ পর্যন্ত যান , তাহলে এই স্থানের যাত্রা হল সবথেকে গুরুত্বপূর্ণ ৷"
177093,চিনি হল সাদা সাক্ষী ৷  ইমারত ৷  ব্
177094,পাঞ্জাব প্রদেশ পঞ্জাব প্রদেশ পাঞ্জাব প্রদেশ গঠিত হরিয়ানা মুল্যানায়নার মধ্যে গঠিত হয়।
177095,রাজেশ ও গান্ধর্ব উভয় রাজেশ খান্নার সাথে ১৯৬৯ সালে রাজেশ খান্নার সদস্যদের শীর্ষ ৫৯টি মিলিয়ন টন হয়ে যায়।
177096,সার্বভৌম ও স্বাধীনতার জন্য সার্বভৌম ও সার্বভৌম সার্বভৌম সার্বভৌম সা
177097,যদি তার চুল খুস্কি খুস্কি হয় তাহলে অন্য ব্রাশ বা অন্য দুঃখ চুলে বা অন্য দুঃখ ব্রাশ হয় ৷  হতে পারে ৷
177098,ভারতে বিশ্ব মূল্য ২২  এর উত্পাদন হয় ৷             r
177099,এটি ভারতের পর্যটন এবং ভারতীয় গ্লাইডিং স্থানগুলির মধ্যে একটি জনপ্রিয় স্পোর্টস মধ্যে অত্যন্ত জনপ্রিয় স্থান।
177100,আপনি কি কোনো হ্রদে অবস্থিত ছিলেন ?  এ  ব্যবহার করবেন ?  এ রকম অবস্থা আছে
177101,আমাকে এক মাসের পরে মনে করিয়ে দিন  মিলিকিংয়ের জন্য আমাকে মনে করিয়ে দিন
177102,"অসম্ভব কম বা কম দৃষ্টিকোণ থেকে বিদ্যুৎ পরিবর্তন করা হয়,যা অবশ্যাহত করা সম্ভব হয়।"
177103,মশ্বপুর্বইয়ের পুরানো দুর্গটি উজ্জয়িনী নামে পরিচিত ৷  পর
177104,"যখন রাজা খেলেছিলেন , সে বৃক্ষ এবং সেই গাছের অবস্থা দেখে খারাপ ছিল , তখন তিনি বৃক্ষের সঙ্গে খারাপ প্রভাব পড়েছিলেন।"
